分数_Score,公司代码()_CompanyCode,上市公司代码_Comcd,最新公司全称_Lcomnm,行业_Industry,创新机构行业分布占比_InnovationInstitutions(%),行业集中度CR8值_CR8IndustryConcentration,周期性行业_PeriodIndustry,劳动力行业分布_LaborIndustryDistribution,高水平人才分布_DistributionOfHighLevelTalents,数据化人才分布_DataTalentDistribution,每股收益(元/股)_BasicEPS,每股净资产(元/股)_NAPS,每股营业总收入(元/股)_ToloperevPS,每股营业利润(元/股)_OpeprfPS,每股息税前利润(元/股)_EBITPS,每股未分配利润(元/股)_UndivprfPS,每股留存收益(元/股)_RetearPS,每股经营活动现金流量(元/股)_OpeCFPS,每股净现金流量(元/股)_CFPS,每股企业自由现金流量(元/股)_EntfcfPS,净资产收益率(平均)(%)_AvgROE,资产净利率(%)_ROA,投入资本回报率(%)_ROIC,销售净利率(%)_Netprfrt,销售毛利率(%)_Gincmrt,销售成本率(%)_Salcostrt,营业利润/营业总收入_OpeprTOR,息税前利润/营业总收入(%)_EBITTOR,营业总成本/营业总收入(%)_TopecostTOR,销售费用率(%)_Opeexprt,管理费用率(%)_Admexprt,财务费用率(%)_Finexprt,资产减值损失/营业总收入_AstimpaTOR,净利润_Netprf,息税前利润_EBIT,息税折旧摊销前利润_EBITDA,营业利润率(%)_Opeprfrt,成本费用利润率(%)_Totprfcostrt,流动比率(%)_Currt,速动比率(%)_Qckrt,超速动比率(%)_Supqckrt,产权比率(%)_Dbequrt,股东权益/负债合计_Equtotlia,股东权益/带息债务(%)_Equintdb,有形净值债务率(%)_Dbtanequrt,有形净值/净债务(%)_Tanastndb,经营净现金流量/负债合计_NOCFtotlia,长期负债与营运资金比率(NULL)_Ldbwrkcap,现金流动负债比_OpeCcurdb,每股收益增长率(%)_EPSgrrt,营业收入3年复合增长率()_OperaInc3GrRt,营业利润增长率(%)_Opeprfgrrt,利润总额增长率(%)_Totprfgrrt,净利润增长率(%)_Netprfgrrt,归属母公司的净利润过去五年平均增幅(%)_NPPCavggrrt,经营活动现金流量净额增长率(%)_NOCFgrrt,净资产收益率(摊薄)增长率(%)_ROAgrrt,净资产增长率(%)_Netassgrrt,总资产增长率(%)_Totassgrrt,股东权益相对年初增长率(%)_EquYTDgrrt,资产总计相对年初增长率(%)_TotastYTDgrrt,可持续增长率(%)_Susgrrt,营业周期(天/次)_Opecyc,存货周转率(次)_Invtrtrrat,应收账款周转率(次)_ARTrat,应付账款周转率(次)_AccrPayrat,流动资产周转率(次)_Currat,固定资产周转率(次)_Fixassrat,股东权益周转率(次)_Equrat,总资产周转率(次)_Totassrat,销售商品劳务收入现金/营业收入(%)_SalesevOpeincm,销售现金比率(%)_Casrtsale,经营现金净流量/经营净收益(%)_NOCFONI,资本支出/折旧和摊销_CapexpDM,现金及其等价物净增加额(元)_CCEinc,经营现金净流量(元)_NOCF,自由现金流量(元)_FreeCF,净利润现金含量(元)_Netprfcascvr,营业收入现金含量(%)_Opeincmcashcvr,总资产现金回收率(%)_OpeCass,每股现金及现金等价物余额(元/股)_CCEPS,留存盈余比率(%)_Retearrt,资产负债率(%)_Dbastrt,长期借款/总资产(%)_Ldbass,应付债券/总资产(%)_Bdpayass,股东权益/全部投入资本(%)_Equtotcap,带息债务/全部投入资本(%)_Intdbtotcap,流动负债/负债合计(%)_Curtotlia,非流动负债/负债合计(%)_Noncurtotlia,股东权益比率(%)_Equass,营运资金(元)_Wrkcap,长期负债/股东权益_Ldbequ,经营活动净收益／利润总额(%)_OPItprf,经营活动净收益／利润总额(TTM)(%)_OPItprfTTM,对联营合营公司投资收益/利润总额(%)_Invretassoctprf,价值变动净收益／利润总额(%)_Valchgtprf,营业外收支净额／利润总额(%)_Noopenitprf,净利润/营业总收入(%)_NPTOIDP,净利润/利润总额(%)_NPTPDP,利润总额/息税前利润(%)_TPEBITDDP,息税前利润/营业总收入(%)_EBITTOIDDP,RGB_Red,RGB_Green,RGB_Blue,主营业务_MainBusiness,积极新闻舆情_Positive,消极新闻舆情_Nagative,消极/积极_Na/P,消极/中立_Na/Ne,监管确定_RegulatoryCertainty,劳动力流动_LabourMobility,资本流动_CapitalFlow,贸易流量_TradeFlow,全球经济增长地位_GlobalEconomicGrowthPosition,国民经济增长地位_NationEconomicGrowthPosition,法治程度_RuleOfLaw,有形产权_TangiblePropertyRights,无形产权_IntangiblePropertyRights,纠纷调解_DisputeResolution,税收优惠_TaxIncentive,税收负担_TaxBurden
75.5,144,C000429,广东省高速公路发展股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,0.8,4.5852,1.5395,1.0056,1.1016,1.8838,2.2546,0.9164,-0.1147,1.1738,18.0231,11.5989,13.9075,59.1339,60.2604,39.7396,65.3221,71.5557,52.5486,0,5.6977,6.6049,-0.0313,1677028179,2303160089,3113398239,65.3221,125.2308,0.7391,0.7391,0.738,65.1904,153.3968,163.1348,68.4344,243.3952,0.3066,,0.6338,11.1111,27.7,14.4606,10.6395,11.2919,52.8091,-12.711,4.5375,6.2466,-1.3763,6.2466,-1.3763,6.3142,10,15787.8063,35.0392,,1.3668,0.3997,0.3459,0.1961,102.1448,59.5268,125.448,1.0434,-239738904.1,1915985578,3197376202,100.6644,102.1448,11.676,1.0155,29.9336,38.3508,0.1831,,61.9967,38.0033,48.369,51.631,61.6492,-788739592.8,0.3212,72.8085,72.8085,22.1133,2.0873,-0.229,59.1339,90.734,91.0799,71.5557,17,118,185,6,0.1891,0.1567,0.0261,0.8288,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
72,154,C000507,珠海港股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,0.2138,3.6396,3.312,0.3294,0.4665,1.4413,1.6209,0.4795,0.5958,0.6444,5.9574,3.0266,5.5441,7.3809,19.1693,80.8307,9.9452,14.0862,95.9153,3.5378,6.4851,4.6771,-0.4687,168786840.8,368348698,548661191.2,9.9452,9.8577,0.8744,0.8283,0.7491,124.4407,80.3596,89.9735,138.7935,114.0484,0.1059,,0.1997,20.0449,8.94,29.8966,20.4335,15.9272,60.8107,4.6106,16.1548,2.8932,12.5763,2.8932,12.5763,5.2944,70,26.0442,6.3582,,1.8762,1.0022,0.923,0.405,110.4215,14.4787,354.4652,1.9015,470380196.3,378612389.1,370925595.3,196.1645,110.4215,5.8639,1.1701,76.6113,52.2906,0.1352,0.0875,47.3611,52.6389,53.0192,46.9808,47.7094,-238095109.9,0.5149,43.3748,43.3748,14.4367,33.0944,-5.6075,7.3809,78.3774,66.8535,14.0862,12,94,159,4,0.6421,0.0211,0.0053,0.0329,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
70,201,C000555,神州数码信息服务股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,0.0437,5.1338,9.4219,0.0914,0.1517,1.6761,1.7043,0.2463,-0.3038,0.2917,0.856,0.4414,1.3424,0.5207,18.6278,81.3722,0.9696,1.6102,101.7814,6.0783,5.2587,0.6932,5.3338,42096244.42,146164344.9,262402835.8,0.9696,0.9273,1.3782,1.0686,0.819,114.6891,87.1922,120.1862,182.954,119.3767,0.0418,0.0461,0.0426,-86.0872,10.58,-76.8967,-79.4466,-85.1414,2.3847,-30.9609,-86.2486,1.1504,-0.2191,1.1504,-0.2191,0.1923,208,4.2081,2.9305,,1.1888,15.6265,1.8458,0.8477,111.4984,2.6136,,0.3489,-292697608.8,237248165.2,-11370523769,501.9011,111.4984,2.2156,1.54,19.8976,53.0334,0.0042,,54.5839,45.4161,98.2868,1.7132,46.9666,2108470719,0.0193,-205.6859,-205.6859,-3.6184,234.7411,-11.9498,0.5207,60.1271,53.7864,1.6102,213,28,48,6,0.7154,0.0163,0.0027,0.0228,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
71.5,273,C000636,广东风华高新科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,1.14,6.0693,5.1162,1.3711,1.3695,1.7799,2.2549,1.6328,0.8177,1.0733,20.4839,15.3875,20.0104,22.4624,41.6695,58.3305,26.7992,26.7671,75.8202,2.0321,6.2734,-0.1239,4.2353,1017172199,1225984965,1507331885,26.7992,40.1755,2.5647,2.188,1.8437,27.8882,358.5741,593.2093,30.233,,0.9647,0.0869,1.0958,307.1429,33.16,286.4632,293.5582,292.6211,43.7717,260.1642,241.1188,20.7973,11.2893,20.7973,11.2893,16.8337,137,5.3609,5.1124,,1.497,2.1443,0.9224,0.685,85.4359,31.9148,131.9892,1.7118,732026222.4,1461760938,-1152814796,142.0812,85.4359,21.8627,1.2949,73.5964,21.5138,,,85.5743,14.4257,88.0339,11.9661,78.4862,2087247042,0.0328,90.488,90.488,2.5293,2.3501,-0.2903,22.4624,84.0607,99.8302,26.7671,213,44,51,9,0.4167,0.0595,0.0066,0.1428,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
78.5,419,C000823,广东汕头超声电子股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.5025,6.171,9.2022,0.6967,0.7159,2.0699,2.421,0.8539,0.1043,0.7716,8.3912,6.2725,9.1903,6.6811,20.0201,79.9799,7.5708,7.7802,92.6692,3.0876,4.8528,-0.4921,0.7354,269843536.4,384437729.2,590711613.6,7.5708,8.5979,2.0486,1.6462,1.5702,51.7135,193.3731,216.1797,54.2324,547.4881,0.2676,0.0611,0.2847,40.5988,10.73,29.717,31.5859,36.9189,11.1322,44.8384,32.3114,6.2726,6.6194,6.2726,6.6194,8.4809,162,5.9927,3.5229,,1.5472,3.1001,1.5365,0.9389,77.4891,9.2792,126.5772,1.8788,56029336.86,458506165.1,47416860.81,138.8872,77.4891,8.7118,1.5884,80.1008,31.5478,0.0129,,68.3724,31.6276,93.9743,6.0257,68.4522,1688657042,0.0278,97.5234,97.5234,-1.2552,0.4302,-0.7157,6.6811,88.8796,96.6173,7.7802,120,147,157,10,0.3506,0.013,0.0013,0.0371,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
76.5,423,C000828,东莞发展控股股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,1.009,6.2452,1.5618,1.3101,1.2806,3.3574,4.1106,2.1442,0.5825,1.6458,17.2673,9.912,11.4625,64.795,65.2408,34.7592,83.887,81.996,36.8789,,3.667,-1.9508,-0.1591,1048859921,1331222666,1591800784,83.887,230.2645,0.8627,0.8627,0.6276,69.0485,144.8257,187.3263,74.0666,328.4359,0.4972,,0.8501,18.2745,13.96,23.1441,23.0116,18.3071,21.4018,4458.9939,3.0534,14.7683,7.7589,14.7683,7.7589,13.6206,5,,66.0573,,0.7896,0.9955,0.2673,0.153,79.6708,137.2911,217.5042,0.0578,605560404.7,2228948846,-750787661.6,211.8853,79.6708,21.002,1.5612,73.2405,40.7162,0.1146,0.0273,65.1964,34.8036,58.4908,41.5092,59.2838,-359890901.4,0.2851,75.1531,75.1531,8.0456,16.3359,0.1227,64.795,77.146,102.4319,81.996,254,249,200,7,0.2222,0.1111,0.0159,0.5,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
79,45,C001872,招商局港口集团股份有限公司,1,0.032,0.3991,0,0.478,0.435,0.0219,0.61,17.1519,5.4106,2.0476,2.7962,4.9714,5.2654,2.3913,-1.3138,-0.2217,3.6817,4.2442,6.8264,29.7413,40.8533,59.1467,37.8451,51.6795,92.751,,12.9013,16.9365,,1090418911,5014666415,6859377690,37.8451,41.8593,1.063,1.052,0.7134,154.7478,64.6213,81.8776,3497.1359,4.463,0.0901,60.3992,0.4327,-53.9394,73.04,-39.2021,-39.941,-46.9262,2.5437,23.4109,-57.3233,8.0272,17.3023,8.0272,17.3023,8.2347,6,59.9848,37.7443,,0.9056,0.4204,0.3276,0.0818,98.7436,44.1967,609.694,1.3211,-2356178578,4288575425,-14269118724,148.6037,98.7436,3.6167,2.9961,81.2504,37.1832,0.0545,0.1726,45.018,54.982,20.8197,79.1803,62.8168,624027301.2,0.4687,19.4612,19.4612,108.2867,-28.2331,-1.602,29.7413,79.8459,72.0757,51.6795,8,76,147,17,0.4018,0.0594,0.0035,0.1477,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
70.5,2303,C002017,东信和平科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.11,2.8087,3.3284,0.1501,0.1189,0.9616,1.2106,0.2685,0.1972,0.1882,4.0975,2.428,3.146,3.3703,25.871,74.129,4.5106,3.5728,97.2254,7.369,4.2277,-0.504,1.9269,39206875.93,41183592.84,83574596.21,4.5106,5.2562,2.1289,1.3849,1.2673,69.0787,144.7624,213.7193,71.6638,,0.1384,0.1065,0.155,0,-7.14,22.6116,22.3713,3.7475,5.9301,-2.2843,0.5237,3.3772,6.256,3.3772,6.256,2.7182,211,2.102,9.0038,,0.947,5.5207,1.2047,0.7204,113.3932,8.0659,290.706,0.6569,68289869.7,92976418.26,-26289298.77,239.3214,113.3932,5.8108,1.8318,65.8361,40.7588,,,68.1244,31.8756,89.2719,10.7281,59.2412,677174511,0.0738,61.9411,61.9411,-4.426,1.9956,-0.6977,3.3703,75.2404,125.3764,3.5728,14,105,170,4,0.2315,0.0741,0.0185,0.3201,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
67.5,2735,C002045,国光电器股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.49,3.5358,8.6295,-0.5766,-0.4133,0.4721,0.7503,0.2974,0.5627,0.1918,-14.1544,-4.9183,-5.1367,-5.4578,12.2227,87.7773,-6.682,-4.7897,105.5067,2.736,3.0398,2.6326,3.6062,-219057420,-193593337,-79100657,-6.682,-6.906,1.0541,0.817,0.6404,186.7096,53.5591,55.3146,230.2232,51.9689,0.0451,7.0174,0.0622,-258.0645,21.9,-268.189,-274.5764,-272.3931,51.2661,4.0967,-245.5608,15.0732,15.3913,15.0732,15.3913,,158,6.259,3.577,,1.8096,5.8754,2.6117,0.9011,106.8576,3.4467,,3.2117,263550374,139313550,-1610214630,,106.8576,3.106,0.7025,,64.3403,0.1711,,35.6146,64.3854,72.4808,27.5192,35.6597,121258345,0.4965,,,,,,-5.4578,,,-4.7897,13,83,161,7,0.3768,0.1159,0.0166,0.3076,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
71.5,3648,C002052,深圳市同洲电子股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.44,0.801,1.0699,-0.4328,-0.4163,-1.4942,-1.3876,0.0026,0.007,0.188,-43.4149,-19.8576,-25.7748,-41.4625,11.8434,88.1566,-40.4485,-38.9064,140.9265,10.5277,15.2472,2.6399,15.6114,-330925753.6,-310525252.1,-274933420.7,-40.4485,-35.5381,1.2376,1.148,1.0329,154.0405,64.918,71.4281,162.4595,185.6375,0.0021,0.034,0.0021,-4500,-8.09,-1779.859,-3750.1998,-3802.0089,-437.2759,101.2851,-5842.6379,-35.5375,-16.3655,-35.5375,-16.3655,,255,5.0384,1.9613,,0.6363,3.346,1.0471,0.4789,110.0149,0.2405,,0.1666,5240667.3,1919632.57,-8603120.426,,110.0149,0.1152,0.708,,60.6362,,,41.6665,58.3335,99.199,0.801,39.3638,216918950.6,0.0123,,,,,,-41.4625,,,-38.9064,14,105,170,6,0.3333,0.0714,0.0119,0.2142,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
70.5,3708,C002055,深圳市得润电子股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.5501,5.6214,15.5393,0.5259,0.8666,2.0597,2.197,-0.5219,-1.4528,0.9281,10.2614,2.4908,7.5486,3.2998,14.0239,85.9761,3.3843,5.577,101.5703,2.4919,6.3775,2.3308,1.3442,261024389.5,415716849.1,733564839,3.3843,3.4069,1.1086,0.8111,0.6681,262.4435,38.1034,45.7961,572.0689,23.6721,-0.0354,1.5933,-0.0415,43.5543,34.88,70.0715,63.4396,66.2483,56.8422,-49.9639,32.4395,12.7796,6.0038,12.7796,6.0038,9.1532,187,3.6862,3.9925,,1.1051,6.5982,2.9303,0.7548,84.0098,-3.3584,,2.0081,-696879985.9,-250338695.4,343730607.3,-101.7748,84.0098,-2.535,0.483,88.9736,69.6343,0.0069,,31.4111,68.5889,85.2462,14.7538,30.3657,655333674.6,0.3383,-47.4317,-47.4317,31.0524,96.868,-2.2237,3.2998,99.6726,59.3628,5.577,253,152,57,4,0.5935,0.0363,0.0091,0.0611,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
74,3752,C002063,远光软件股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,0.2292,2.6535,1.505,0.2286,0.2176,1.2438,1.5165,0.1678,0.0695,0.2454,9.17,7.2331,8.2416,14.6782,65.9869,34.0131,15.1906,14.4578,88.8173,17.5718,14.8804,-0.7071,1.6043,194695651.6,184825316.7,218067608.4,15.1906,23.1371,5.7467,5.6334,5.4344,15.5994,641.0492,1388.1566,17.0087,,0.4055,0.0085,0.4219,12.1331,11.8,11.7146,10.505,12.5742,-4.5215,33.0625,-0.0902,13.1181,7.9718,13.1181,7.9718,7.3632,222,12.2306,1.866,,0.6728,7.2926,0.6021,0.4928,106.388,11.151,99.7165,1.1577,59010388.86,142551750.7,-358857896.4,75.9697,106.388,5.495,1.2868,78.1864,13.0524,,,93.2803,6.7197,96.1024,3.8976,86.9476,1603846254,0.0059,73.4999,73.4999,5.0587,7.2836,0.1575,14.6782,96.4748,105.2343,14.4578,11,90,165,13,0.7124,0.0196,0.0015,0.0275,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
72,4051,C002106,深圳莱宝高科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.3187,5.4433,6.2567,0.3663,0.3334,1.1376,1.5556,0.3452,0.0038,0.2357,5.9455,4.7814,5.4796,5.152,12.6736,87.3264,5.8537,5.3295,94.9051,1.8432,2.9778,-1.9398,0.1782,224947441,235353155.6,415675429.9,5.8537,6.484,4.0485,3.3712,3.3391,26.063,383.6863,563.6775,27.0834,,0.2434,0.0764,0.3001,59.35,22.14,43.2428,39.199,53.0797,-901.3012,-30.9128,54.7877,3.1383,3.7071,3.1383,3.7071,4.1914,137,8.1473,3.8463,,1.4044,3.5462,1.1672,0.9281,99.3478,5.5181,108.3059,0.3398,2707312.13,243681897.1,164063956.8,107.1042,99.3478,5.121,2.085,68.6231,20.6671,,,84.9324,15.0676,81.0998,18.9002,79.3329,2475630039,0.0492,87.1053,87.1053,1.0718,-4.954,-0.0791,5.152,88.0826,109.7504,5.3295,0,0,0,6,0.4762,0.0476,0.0079,0.1,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
69,4285,C002130,深圳市沃尔核材股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.02,2.0473,2.7935,0.0086,0.1346,0.9221,1.0219,0.4483,0.0829,0.104,0.7695,0.5376,5.7465,0.9652,32.2006,67.7994,0.3083,4.8175,95.104,9.4269,5.8356,4.202,1.422,20514160.31,169819779.8,360899709.2,0.3083,0.6648,0.868,0.7106,0.6459,140.2983,71.2767,81.3972,258.5046,52.5436,0.1561,,0.1799,-84.6154,29.54,-93.9905,-88.6631,-79.6482,69.4308,278.1534,-87.005,-6.0111,3.1636,-6.0111,3.1636,,184,5.1423,3.1354,,1.485,1.9727,1.3222,0.557,83.5575,16.0485,327.7902,1.3094,104668926,565714119.8,-612673232.2,1662.6752,83.5575,8.9387,0.3384,,56.3901,0.0496,,44.8724,55.1276,86.7801,13.2199,43.6099,-415125319.8,0.1709,843.9782,843.9782,,-1006.0785,46.8538,0.9652,166.3872,12.0415,4.8175,252,16,29,4,0.1505,0.1398,0.035,0.9289,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
69.5,4445,C002137,深圳市麦达数字股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,-0.6418,2.3142,1.7883,-0.6428,-0.6165,-0.4133,-0.3312,0.0034,-0.3064,-0.065,-24.3297,-19.6226,-24.1894,-35.4781,18.9659,81.0341,-35.9434,-34.4716,140.1513,3.7288,8.3369,-0.5017,43.5121,-369515881.6,-356965383.6,-340380813.3,-35.9434,-37.1266,3.5563,3.3259,1.1414,21.8216,458.2615,620.3246,25.2465,1024.9257,0.0068,0.0013,0.0068,-590.6728,35.29,-442.9073,-414.5803,-569.2437,25.4862,-98.1129,-721.3742,-21.055,-19.7675,-21.055,-19.7675,,109,13.7961,4.3358,,0.9704,11.2461,0.6818,0.5531,107.5193,0.1922,,0.608,-177452314.6,1990048.31,-4049249356,,107.5193,0.1063,0.1191,,17.543,,,86.1174,13.8826,99.6678,0.3322,82.457,745041028.1,0.0007,,,,,,-35.4781,,,-34.4716,8,69,141,15,0.28,0.04,0.0027,0.1429,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
79.5,4446,C002138,深圳顺络电子股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.59,5.2932,2.9088,0.6132,0.6797,1.6261,1.8838,0.7353,0.0603,0.2519,11.5297,9.6539,11.486,20.4471,34.6416,65.3584,21.0814,23.367,81.5525,2.8715,5.863,-0.6797,1.1049,478584370.7,551939379.3,810414829.8,21.0814,31.9972,2.6709,2.052,1.9858,20.4664,488.6046,2079.1656,23.0905,,0.6788,0.1151,0.8093,34.0909,21.43,29.4885,44.3253,40.3804,23.8948,26.5935,30.618,7.363,9.8365,7.363,9.8365,8.0106,213,3.6806,3.0986,8.293,1.2703,1.0036,0.569,0.4721,109.596,25.2793,137.0337,1.6588,48966240.05,597108727.8,169185185.2,123.6327,109.596,11.9354,0.5627,66.4024,16.7967,,,95.4111,4.5889,83.8662,16.1338,83.2033,1232761167,0.0326,78.533,78.533,-0.5621,5.6724,10.2543,20.4471,87.0455,100.5269,23.367,24,114,205,16,0.678,0.0169,0.0011,0.0249,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
66,50294,C002161,深圳市远望谷信息技术股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.242,1.8982,0.5919,-0.2629,-0.2244,0.2159,0.3141,-0.0975,-0.1269,-0.0207,-11.9044,-8.8078,-8.8995,-44.6389,35.3841,64.6159,-44.414,-37.9177,163.449,21.0351,30.7063,6.4326,23.4693,-179030863.7,-166038535.6,-119347691.7,-44.414,-36.1889,1.3076,0.8521,0.6488,53.2795,187.6893,207.2907,61.0351,266.4273,-0.0964,0.3639,-0.1072,-7906.4516,-4.79,-2112.1147,-2369.7785,-8133.6232,-18.1139,-745.8866,-9110.318,-12.4337,-5.2721,-12.4337,-5.2721,,598,0.8524,2.0428,,0.4835,2.653,0.2912,0.1973,112.2357,-16.4756,,0.3188,-93879860.17,-72145367.89,-307070257.2,,112.2357,-3.2508,0.2259,,34.6496,0.0243,,67.4575,32.5425,89.935,10.065,65.3504,206954857.5,0.0534,,,,,,-44.6389,,,-37.9177,25,163,182,6,0.3426,0.1018,0.017,0.2971,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
73,50387,C002180,纳思达股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.8986,4.8112,20.6156,0.7556,1.4269,2.2457,2.4209,2.0298,0.4607,3.0449,20.7157,3.4003,13.2234,5.5549,35.683,64.317,3.665,6.9214,97.2706,14.2044,7.9058,3.4821,0.1237,950700507.7,1517619421,2961152014,3.665,3.8667,0.8627,0.646,0.5008,538.3598,18.5749,25.5396,-165.3954,,0.0784,,0.1784,-4.8396,120.36,127.0472,125.7397,-16.0868,261.2779,447.9434,-20.5251,25.996,1.6494,25.996,1.6494,27.3059,101,5.6539,9.6011,,2.1181,7.0985,4.7778,0.6121,96.2901,9.8462,360.7477,0.4786,490040470.3,2158916393,899206156.7,177.2526,96.2901,6.027,3.0213,91.0515,76.2841,0.2209,0.0657,20.3438,79.6562,43.9194,56.0806,23.7159,-1661368930,1.8039,78.5082,78.5082,,8.9712,-5.4213,5.5549,159.7813,50.229,6.9214,16,108,192,7,0.4167,0.0278,0.004,0.0667,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
74,50316,C002192,融捷股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,-0.0271,2.9371,1.4745,-0.0371,-0.026,-0.0896,-0.0356,0.0634,0.0385,0.184,-0.9185,-0.403,-0.4978,-1.1346,20.6745,79.3255,-2.5154,-1.7629,102.0399,4.4288,12.6632,0.2679,-0.0514,-7036332.95,-6749574.35,8340287.67,-2.5154,-2.0114,1.3741,1.1381,1.0542,33.781,296.0245,372.0327,77.1521,207.2276,0.0639,0.3296,0.0718,-119.4544,18.09,-124.3444,-114.8726,-109.6822,-154.4292,-19.309,-119.6235,-0.9026,-0.0147,-0.9026,-0.0147,,231,4.3956,2.4105,,1.2346,3.0006,0.4998,0.3552,93.4422,4.3017,,1.4586,10003453.5,16469829.47,-55399706.04,,93.4422,1.528,0.1608,,23.903,,,78.815,21.185,89.0211,10.9789,76.097,85801246.12,0.0345,,,,,,-1.1346,,,-1.7629,25,57,128,4,0.25,0.0556,0.0139,0.2224,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
69.5,74748,C002238,深圳市天威视讯股份有限公司,3,0.06,0.3287,1,0.0289,0.1273,0.3986,0.32,4.4917,2.5276,0.3348,0.2998,2.6956,3.1345,0.6984,-0.35,0.0686,7.1677,5.1548,6.6839,12.861,38.3375,61.6625,13.247,11.8595,89.8191,8.2744,16.4461,-1.0822,0.3014,197223366.3,185056624.1,473842364.6,13.247,15.1719,1.8557,1.8234,1.7355,37.1591,269.1129,525.7484,45.5749,,0.4184,0.1193,0.4612,-15.7895,-4.45,-16.252,-19.2376,-19.4278,7.2238,-24.1109,-17.5749,1.5708,0.5422,1.5708,0.5422,-4.154,23,36.7453,26.2414,,0.908,1.4932,0.5671,0.4008,105.4686,27.6324,271.4135,1.0069,-216060169,431177283.2,-2303976364,214.8539,105.4686,11.0753,1.6027,-56.5112,26.3961,,,84.0191,15.9809,90.7385,9.2615,73.6039,800059395.9,0.0332,78.6672,78.6672,-4.4928,13.7069,-2.3587,12.861,99.3761,109.1254,11.8595,252,13,27,3,0.2597,0.013,0.0043,0.0501,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
71,75101,C002288,广东超华科技股份有限公司,2,0.192,0.497,1,0.4234,0.1414,0.1184,0.037,1.6642,1.4957,0.0625,0.0817,0.0543,0.074,0.1843,-0.0917,0.2172,2.2562,1.2537,5.4181,2.4682,16.88,83.12,4.182,5.4613,96.5611,2.1477,4.6942,4.4492,0.9197,34514698.96,76099179.25,171568594.4,4.182,1.6977,1.2189,0.6788,0.5126,78.3059,127.7043,137.7978,87.9401,138.8193,0.1414,0.3454,0.1521,-26.4414,9.97,18.7051,-52.8398,-26.5957,-432.7926,392.3138,-28.3036,2.7453,1.8951,2.7453,1.8951,,298,2.0978,2.8426,,1.0337,1.9392,0.9109,0.508,113.4445,12.3228,358.3334,0.7619,-85471725.49,171709516.2,101155772.7,499.2556,113.4445,6.2594,0.0301,,43.8472,0.0087,,57.9475,42.0525,92.9706,7.0294,56.1528,247107087.5,0.0549,214.5541,214.5541,,0,-160.9164,2.4682,153.9931,29.3488,5.4613,277,37,49,6,0.2315,0.3148,0.0525,1.3598,0.63,1,0.64,0.85,1.6,0.73,0.52,0.69,0.95,0.7,0.33,0.802
