公司代码()_CompanyCode,上市公司代码_Comcd,最新公司全称_Lcomnm,行业_Industry,A股股票代码_A_Stkcd,B股股票代码_B_Stkcd,H股股票代码_H_stkcd,上市标识_Lstflg,截止日期_Enddt,报表类型_Reporttype,每股收益(元/股)_BasicEPS,稀释每股收益(元/股)_DilutEPS,每股收益(期末股本摊薄)(元/股)_EPS,每股收益(TTM)(元/股)_EPSTTM,每股净资产(元/股)_NAPS,每股营业总收入(元/股)_ToloperevPS,每股营业收入(元/股)_MincmPS,每股营业收入(TTM)(元/股)_MincmPSTTM,每股营业利润(元/股)_OpeprfPS,每股息税前利润(元/股)_EBITPS,每股资本公积金(元/股)_CapsurfdPS,每股盈余公积金(元/股)_SurrefdPS,每股公积金(元/股)_AccumfdPS,每股未分配利润(元/股)_UndivprfPS,每股留存收益(元/股)_RetearPS,每股经营活动现金流量(元/股)_OpeCFPS,每股经营活动现金流量(TTM)(元/股)_OpeCFPSTTM,每股净现金流量(元/股)_CFPS,每股净现金流量(TTM)(元/股)_CFPSTTM,每股企业自由现金流量(元/股)_EntfcfPS,每股股东自由现金流量(元/股)_ShrhfcfPS,净资产收益率(平均)(%)_AvgROE,净资产收益率(加权)(%)_WROE,净资产收益率(摊薄)(%)_ROE,净资产收益率(扣除，摊薄)(%)_ROEcut,净资产收益率(扣除，加权)(%)_WROEcut,净资产收益率(TTM)(%)_ROETTM,资产报酬率(%)_ROAEBIT,资产报酬率(TTM)(%)_ROAEBITTTM,资产净利率(%)_ROA,资产净利率(TTM)(%)_ROATTM,投入资本回报率(%)_ROIC,销售净利率(%)_Netprfrt,销售净利率(TTM)(%)_NetprfrtTTM,销售毛利率(%)_Gincmrt,销售毛利率(TTM)(%)_GincmrtTTM,销售成本率(%)_Salcostrt,销售期间费用率(%)_Pdcostrt,销售期间费用率(TTM)(%)_PdcostrtTTM,净利润/营业总收入_NprTOR,净利润/营业总收入(TTM)_NprTORTTM,营业利润/营业总收入_OpeprTOR,营业利润/营业总收入(TTM)_OpeprTORTTM,息税前利润/营业总收入(%)_EBITTOR,息税前利润/营业总收入(TTM)(%)_EBITTORTTM,营业总成本/营业总收入(%)_TopecostTOR,营业总成本/营业总收入(TTM)(%)_TopecostTORTTM,销售费用率(%)_Opeexprt,销售费用率(TTM)(%)_OpeexprtTTM,管理费用率(%)_Admexprt,管理费用率(TTM)(%)_AdmexprtTTM,财务费用率(%)_Finexprt,财务费用率(TTM)(%)_FinexprtTTM,资产减值损失/营业总收入_AstimpaTOR,资产减值损失/营业总收入(TTM)_AstimpaTORTTM,净利润_Netprf,扣除非经常性损益后的净利润_Netprfcut,息税前利润_EBIT,息税折旧摊销前利润_EBITDA,营业利润率(%)_Opeprfrt,成本费用利润率(%)_Totprfcostrt,流动比率(%)_Currt,速动比率(%)_Qckrt,超速动比率(%)_Supqckrt,产权比率(%)_Dbequrt,股东权益/负债合计_Equtotlia,股东权益/带息债务(%)_Equintdb,有形净值债务率(%)_Dbtanequrt,有形净值/带息债务(%)_Tanastintdb,有形净值/净债务(%)_Tanastndb,息税折旧摊销前利润/负债合计_EBITDAtotlia,经营净现金流量/负债合计_NOCFtotlia,经营净现金流量/带息债务_NOCFintdb,经营净现金流量/流动负债_NOCFtotcurlia,经营净现金流量/净债务_NOCFndb,利息保障倍数_Intcvr,长期负债与营运资金比率(NULL)_Ldbwrkcap,现金流动负债比_OpeCcurdb,每股收益增长率(%)_EPSgrrt,稀释每股收益增长率(%)_DilutEPSgrrt,营业收入增长率(%)_Opeincmgrrt,营业收入3年复合增长率()_OperaInc3GrRt,营业利润增长率(%)_Opeprfgrrt,利润总额增长率(%)_Totprfgrrt,净利润增长率(%)_Netprfgrrt,归属母公司的净利润增长率(%)_NPPCgrrt,归属母公司的净利润(扣除)增长率(%)_NPPCcutgrrt,归属母公司股东的净利润3年复合增长率()_NetProfShareGrRt,归属母公司的净利润过去五年平均增幅(%)_NPPCavggrrt,经营活动现金流量净额增长率(%)_NOCFgrrt,每股经营活动现金流量增长率(%)_OpeCPSgrrt,净资产收益率(摊薄)增长率(%)_ROAgrrt,净资产增长率(%)_Netassgrrt,总资产增长率(%)_Totassgrrt,每股净资产相对年初增长率(%)_NAPSgrrt,股东权益相对年初增长率(%)_EquYTDgrrt,资产总计相对年初增长率(%)_TotastYTDgrrt,可持续增长率(%)_Susgrrt,营业周期(天/次)_Opecyc,存货周转率(次)_Invtrtrrat,存货周转天数(天/次)_invtrtrday,应收账款周转率(次)_ARTrat,应收账款周转天数(天/次)_ARTday,应付账款周转率(次)_AccrPayrat,应付账款周转天数(天/次)_AccrPayday,流动资产周转率(次)_Currat,固定资产周转率(次)_Fixassrat,股东权益周转率(次)_Equrat,总资产周转率(次)_Totassrat,销售商品劳务收入现金/营业收入(%)_SalesevOpeincm,销售商品劳务收入现金/营业收入(TTM)(%)_SalesevOpeincmTTM,销售现金比率(%)_Casrtsale,销售现金比率(TTM)(%)_CasrtsaleTTM,经营现金净流量/经营净收益(%)_NOCFONI,经营现金净流量/经营净收益(TTM)(%)_NOCFONITTM,资本支出/折旧和摊销_CapexpDM,现金及其等价物净增加额(元)_CCEinc,经营现金净流量(元)_NOCF,销售商品劳务收入现金(元)_Salesevcash,自由现金流量(元)_FreeCF,净利润现金含量(元)_Netprfcascvr,营业收入现金含量(%)_Opeincmcashcvr,总资产现金回收率(%)_OpeCass,每股现金及现金等价物余额(元/股)_CCEPS,每股股利(元/股)_DivPS,股利保障倍数(倍)_Divcvr,现金股利保障倍数(倍)_Cashdivcvr,股利支付率(%)_Divprt,留存盈余比率(%)_Retearrt,资产负债率(%)_Dbastrt,流动资产/总资产(%)_Curtotast,非流动资产/总资产(%)_Noncurtotast,固定资产比率(%)_Fixassrt,无形资产比率(%)_Intanassrt,长期借款/总资产(%)_Ldbass,应付债券/总资产(%)_Bdpayass,股东权益/全部投入资本(%)_Equtotcap,带息债务/全部投入资本(%)_Intdbtotcap,流动负债/负债合计(%)_Curtotlia,非流动负债/负债合计(%)_Noncurtotlia,股东权益比率(%)_Equass,权益乘数(%)_Equmul,营运资金(元)_Wrkcap,长期负债/股东权益_Ldbequ,长期资产适合率(%)_Lassfitass,经营活动净收益／利润总额(%)_OPItprf,经营活动净收益／利润总额(TTM)(%)_OPItprfTTM,对联营合营公司投资收益/利润总额(%)_Invretassoctprf,对联营合营公司投资收益/利润总额(TTM)(%)_InvretassoctprfTTM,价值变动净收益／利润总额(%)_Valchgtprf,价值变动净收益／利润总额(TTM)(%)_ValchgtprfTTM,营业外收支净额／利润总额(%)_Noopenitprf,营业外收支净额／利润总额(TTM)(%)_NoopenitprfTTM,所得税／利润总额(%)_Taxtprf,扣除非经常损益后的净利润／净利润(%)_Nprfcutnprf,权益乘数(杜邦分析)(%)_EqumulDP,归属母公司股东的净利润/净利润(%)_NPPCNPDP,净利润/营业总收入(%)_NPTOIDP,净利润/利润总额(%)_NPTPDP,利润总额/息税前利润(%)_TPEBITDDP,息税前利润/营业总收入(%)_EBITTOIDDP
79327,C002449,佛山市国星光电股份有限公司,2,2449,,,A,31/12/18,Q4,0.7204,0.7204,0.7204,0.7204,5.5813,5.8641,5.8641,5.8641,0.82,0.8437,2.4032,0.3423,2.7455,1.8354,2.1777,0.8923,0.8923,0.2402,0.2402,0.3315,0.2322,13.4797,13.53,12.907,11.3101,11.86,13.4797,8.4312,8.4312,7.0077,7.1006,11.9698,11.9589,11.9589,24.4425,24.4425,75.5575,5.5177,5.5177,11.9589,11.9589,13.9834,13.9834,14.3881,14.3881,87.7248,87.7248,2.2343,2.2343,3.1229,3.1229,0.1605,0.1605,1.535,1.535,445534633.5,390409628.3,521827701.4,800852143.7,13.9834,17.3558,1.4652,1.1488,1.1283,76.89,130.056,147.64,80.4528,141.1018,232.8398,0.3002,0.2079,0.236,0.2238,0.3895,45.412,0.1643,0.2238,24.0572,24.0572,4.4404,25.41,24.0037,25.1992,25.1212,24.0581,21.1424,40.61,66.5633,-13.4894,-33.4502,13.517,9.2861,-2.581,-15.93,9.2861,-2.581,8.0132,168,3.329,108.1406,5.9161,60.8509,,,0.9821,1.6661,1.0973,0.586,108.131,108.131,15.2159,15.2159,123.9568,123.9568,1.2621,148578559.3,551850570.2,3921694298,-322217417.7,127.2345,108.131,8.9163,1.1079,0.3,2.4012,2.9742,41.6451,58.3549,43.4513,59.145,40.855,36.812,1.8246,,,59.6188,40.3812,92.8979,7.1021,56.5487,1.7684,1147126574,0.0546,1.6034,87.2357,87.2357,,,-0.318,-0.318,0.6241,0.6241,15.0116,90.0127,1.8726,102.7224,11.9589,84.9884,97.7979,14.3881
79035,C002456,欧菲光集团股份有限公司,2,2456,,,A,31/12/18,Q4,-0.1934,-0.1934,-0.1913,-0.1913,3.1664,15.8662,15.8662,15.8662,-0.2471,0.0161,1.1659,0.0334,1.1993,0.9727,1.006,0.2376,0.2376,-0.0859,-0.0859,0.3531,1.7901,-5.8659,-5.88,-6.0421,-10.1382,-9.87,-5.8659,0.1272,0.1272,-1.5408,-1.3962,0.2203,-1.2314,-1.2314,12.3154,12.3154,87.6846,4.7102,4.7102,-1.2314,-1.2314,-1.5571,-1.5571,0.1017,0.1017,101.6705,101.6705,0.4449,0.4449,1.9846,1.9846,2.2807,2.2807,4.2738,4.2738,-519008316.4,-870858435,43771928.76,1874971169,-1.5571,-1.2467,0.9128,0.5041,0.4383,340.6469,29.3559,32.7648,451.6186,24.7138,26.2712,0.0623,0.022,0.0246,0.0295,0.0261,0.0811,,0.0295,-162.9557,-163.8495,27.3794,32.51,-170.0623,-150.4263,-164.5701,-163.0997,-226.6188,-202.75,25.639,95.7021,95.878,-166.8899,-5.6657,23.104,-5.58,-5.6657,23.104,,143,4.5416,79.269,5.5793,64.5242,,,2.2588,4.1724,4.8648,1.2512,98.1346,98.1346,1.4974,1.4974,,,3.6722,-233161796.5,644506274.1,42239896987,-1662043078,,98.1346,1.8735,0.4618,,,,,,77.0781,52.6028,47.3972,32.3079,3.8136,0.1225,0.0332,24.6788,75.3212,74.7675,25.2325,22.9219,4.3626,-1908267949,0.8485,1.2529,,,,,,,,,,,3.888,97.919,-1.2314,,-1132.7303,0.1017
79981,C002465,广州海格通信集团股份有限公司,2,2465,,,A,31/12/18,Q4,0.19,0.19,0.1865,0.1865,3.6519,1.7642,1.7642,1.7642,0.1874,0.2103,1.6697,0.1484,1.8181,0.8338,0.9822,0.2727,0.2727,-0.1187,-0.1187,-0.1321,-0.281,5.1918,5.2,5.1064,2.6366,2.69,5.1918,4.1543,4.1543,3.8242,3.876,4.942,10.9738,10.9738,37.6029,37.6029,62.3971,12.5685,12.5685,10.9738,10.9738,10.6199,10.6199,11.921,11.921,97.0878,97.0878,4.9437,4.9437,7.4646,7.4646,0.1602,0.1602,5.5978,5.5978,430196411,222124362.9,485159583.5,637876053.4,10.6199,15.6976,3.6014,2.8448,1.9565,31.7431,315.029,504.7174,42.1611,380.0022,1942.1209,0.2347,0.2352,0.3768,0.2986,1.9259,77.8361,0.1036,0.2986,46.1538,46.1538,21.4114,2.25,19.5343,29.7338,30.9394,46.6824,61.9377,-9.46,7.4692,257.5422,257.874,41.8602,3.4009,-2.6372,3.42,3.4009,-2.6372,1.9541,456,1.4745,244.1506,1.6927,212.6905,,,0.5469,3.1921,0.4912,0.3485,99.4234,99.4234,15.4555,15.4555,530.7105,530.7105,1.7075,-273757081.7,629007539.6,4046331369,-5064684143,140.8395,99.4234,5.386,0.553,0.12,1.554,2.2722,64.3504,35.6496,23.2091,65.8371,34.1629,10.33,4.9201,0.0213,,83.4633,16.5367,78.7655,21.2345,76.7909,1.3022,5479665067,0.0642,6.9981,24.7474,24.7474,-2.0667,-2.0667,28.3828,28.3828,9.7548,9.7548,6.7471,49.7353,1.4094,96.3242,10.9738,93.2529,98.7152,11.921
80190,C002475,立讯精密工业股份有限公司,2,2475,,,A,31/12/18,Q4,0.66,0.66,0.6617,0.6617,3.7666,8.7128,8.7128,8.7128,0.8005,0.8367,0.8738,0.0701,0.9439,1.7829,1.8531,0.7637,0.7637,-0.0449,-0.0449,-0.0786,0.3577,19.149,17.95,17.5677,16.4794,16.93,19.149,10.8726,10.8726,8.8851,7.7202,14.42,7.8475,7.8475,21.0475,21.0475,78.9525,4.4343,4.4343,7.8475,7.8475,9.1877,9.1877,9.6029,9.6029,91.4248,91.4248,1.0819,1.0819,2.5106,2.5106,0.8418,0.8418,0.5686,0.5686,2722631125,2553973259,3442652055,4598661107,9.1877,10.9788,1.3434,1.0678,0.8943,127.5434,78.4047,88.0848,140.2821,80.0861,102.2932,0.2252,0.159,0.1786,0.1829,0.2281,21.433,0.4387,0.1829,60.9756,60.9756,57.0569,52.34,60.4859,60.9942,60.9671,61.0483,77.6699,36.16,47.8333,1761.1443,1335.5263,34.4494,19.7836,35.5412,-7.62,19.7836,35.5412,20.1012,143,6.8963,52.2019,3.9372,91.4379,,,1.7726,4.5304,2.5214,1.1322,88.6822,88.6822,8.7652,8.7652,102.2154,102.2154,4.4603,-184735376.2,3142307168,31792530199,-40359861951,111.6931,88.6822,9.924,0.9259,0.05,13.2339,15.2739,7.5563,92.4437,54.2421,63.3292,36.6708,25.9521,1.6857,0.0411,,46.8325,53.1675,86.9071,13.0929,45.7579,2.1854,5899500106,0.1552,1.9345,93.6677,93.6677,0.2951,0.2951,2.4778,2.4778,-0.358,-0.358,14.2804,90.7808,2.227,96.7757,7.8475,85.7196,95.3343,9.6029
79319,C002492,珠海恒基达鑫国际化工仓储股份有限公司,1,2492,,,A,31/12/18,Q4,0.1422,0.1422,0.1422,0.1422,3.0697,0.6286,0.6286,0.6286,0.1663,0.1853,1.0366,0.1107,1.1474,0.9156,1.0264,0.267,0.267,0.0785,0.0785,0.041,-0.2081,4.7042,4.71,4.6317,3.9716,4.04,4.7042,4.7933,4.7933,3.3553,3.3711,4.1497,20.6358,20.6358,45.2101,45.2101,54.7899,15.9196,15.9196,20.6358,20.6358,26.455,26.455,29.4797,29.4797,77.1023,77.1023,,,11.5897,11.5897,4.3299,4.3299,0.0187,0.0187,57583373.58,49377320.88,75046780.45,143690256.4,26.455,36.8937,2.3185,2.3056,1.4965,24.4165,409.5588,528.7265,28.7761,448.6242,3916.7333,0.4617,0.3562,0.4598,0.5208,4.0146,8.69,0.3505,0.5208,-11.3466,-11.3466,12.3934,18.5,2.7774,-2.2506,-12.4965,-11.3573,-1.4289,20.96,4.6374,-29.2518,-29.2528,-14.0894,3.1805,-0.9319,3.17,3.1805,-0.9319,3.1333,92,56.0577,6.422,4.2038,85.6388,,,0.5468,0.3242,0.208,0.1626,143.9452,143.9452,42.4736,42.4736,185.4926,185.4926,0.853,31807951.79,108125382.7,366442734.8,-639895573.9,205.8249,143.9452,6.9061,0.4634,0.04,3.5545,6.6744,28.1331,71.8669,19.4797,30.8888,69.1112,50.2257,10.0478,0.0318,,84.0948,15.9052,68.3934,31.6066,80.5203,1.2419,273735843.6,0.0765,1.6193,87.7733,87.7733,,,2.7086,2.7086,-1.4096,-1.4096,20.8973,93.9935,1.279,109.6143,20.6358,79.1027,88.4925,29.4797
81656,C002528,深圳英飞拓科技股份有限公司,3,2528,,,A,31/12/18,Q4,0.1237,0.1237,0.1158,0.1158,3.0516,3.563,3.563,3.563,0.0897,0.1454,1.9202,0.0347,1.9549,0.0045,0.0392,-0.2469,-0.2469,0.1569,0.1569,0.2841,0.2547,4.2206,4.22,3.7946,2.4696,2.74,4.2206,3.5313,3.5313,2.8299,2.56,4.0709,3.2699,3.2699,22.5279,22.5279,77.4721,15.141,15.141,3.2699,3.2699,2.5186,2.5186,4.0804,4.0804,98.8478,98.8478,8.2753,8.2753,6.1087,6.1087,0.7571,0.7571,1.8669,1.8669,138801724.5,90334050.08,174265934.8,218038831.6,2.5186,3.7888,2.0866,1.7842,1.2112,48.8159,204.8512,258.8505,78.1325,161.7256,299.0435,0.12,-0.1657,-0.2094,-0.1768,-0.3872,7.1406,0.0617,-0.1768,1.727,1.727,46.986,33.05,65.0774,18.2895,9.9281,9.0764,22.1178,26.62,-33.4189,-934.9762,-804.3956,-12.9419,25.2916,23.5673,9.37,25.2916,23.5673,,146,7.162,50.266,3.7417,96.213,,,1.3804,39.3155,1.2987,0.8654,92.0929,92.0929,-6.9289,-6.9289,-601.3793,-601.3793,1.1675,188094811,-295922977.2,3933128350,-3260437111,-211.9019,92.0929,-5.9966,0.4824,,,,,,32.7331,64.0121,35.9879,2.048,3.0249,,,72.1332,27.8668,93.7198,6.2802,67.2669,1.4866,1818424070,0.0306,32.6691,32.8354,32.8354,-4.1698,-4.1698,34.1259,34.1259,28.2239,28.2239,6.8129,64.6856,1.5006,99.3919,3.2699,93.1871,85.9955,4.0804
82020,C002544,广州杰赛科技股份有限公司,3,2544,,,A,31/12/18,Q4,0.02,0.02,0.0241,0.0241,3.5853,10.9747,10.9747,10.9747,0.0805,0.1999,1.0821,0.162,1.2441,1.3484,1.5104,0.2023,0.2023,0.1037,0.1037,0.7656,0.2871,0.6622,0.66,0.673,-0.946,-1.28,0.6622,1.7036,1.7036,0.3791,0.3591,2.0472,0.4054,0.4054,15.1662,15.1662,84.8338,8.3797,8.3797,0.4054,0.4054,0.7338,0.7338,1.8215,1.8215,99.971,99.971,3.3645,3.3645,3.7347,3.7347,1.2805,1.2805,2.4246,2.4246,13780660.63,-19371498.65,114179143,231144374.1,0.7338,0.7581,1.2416,1.0293,0.9494,241.5902,41.3924,47.7947,285.0043,40.5142,61.8141,0.0427,0.0234,0.027,0.0238,0.0411,1.6338,0.0798,0.0238,-94.2857,-94.2857,4.8564,39.81,-80.5679,-81.6807,-88.0173,-93.1687,-116.5826,-49.55,6.0445,-37.4097,-37.3102,-92.9453,-3.1604,11.801,-3.01,-3.1604,11.801,-0.2925,214,5.1769,69.541,2.4755,145.4252,,,1.0996,9.4472,3.0119,0.9352,104.7884,104.7884,1.8434,1.8434,6366.8554,6366.8554,0.6869,59236902.59,115549498.4,6568439341,698666256,454.737,104.7884,1.724,2.2292,0.03,0.8043,6.7436,124.3389,-24.3389,69.9179,85.1661,14.8339,9.8583,1.5292,,,32.3386,67.6614,98.1081,1.8919,30.0821,3.3242,1172512629,0.044,3.1576,4.0974,4.0974,,,0.0987,0.0987,-3.8496,-3.8496,42.6312,-76.2352,3.2204,54.2328,0.4054,57.3688,38.7923,1.8215
82654,C002577,深圳雷柏科技股份有限公司,3,2577,,,A,31/12/18,Q4,0.03,0.03,0.0285,0.0285,4.1722,1.6778,1.6778,1.6778,0.0075,-0.0996,3.3861,0.119,3.505,-0.2965,-0.1775,-0.0778,-0.0778,-0.1157,-0.1157,0.0727,0.3489,0.684,0.68,0.6836,-2.1461,-2.15,0.684,-2.1558,-2.1558,0.5982,0.5958,-5.9615,1.6467,1.6467,19.4527,19.4527,80.5473,14.4023,14.4023,1.6467,1.6467,0.4492,0.4492,-5.9347,-5.9347,102.8587,102.8587,14.5675,14.5675,6.429,6.429,-6.5942,-6.5942,2.0968,2.0968,8068197.65,-25329394.59,-28166106.4,3362739.36,0.4492,0.6946,6.9134,6.0412,3.2865,12.3113,812.259,1271.7675,13.0979,1195.3931,,0.0145,-0.1515,-0.2371,-0.1659,,,0.0161,-0.1659,-57.1429,-57.1429,-5.0407,-1.74,-81.8206,-74.0312,-31.728,-57.2562,-417.8711,131.41,-148.8562,-7069.8523,-7172.7273,-57.3017,0.1078,0.8065,0.17,0.1078,0.8065,,169,3.599,100.0278,5.1803,69.4954,,,0.5436,1.7365,0.4023,0.3632,109.3028,109.3028,-4.6369,-4.6369,,,1.3867,-32722176.38,-22006836.09,518755706.8,-2015645422,-281.583,109.3028,-1.6843,0.3118,,,,,,11.0766,69.9144,30.0856,20.9766,1.8665,,,92.7101,7.2899,91.2989,8.7011,88.9234,1.1246,784477678,0.0108,4.2851,-433.4295,-433.4295,0.829,0.829,81.0223,81.0223,31.8934,31.8934,-149.6714,-324.0959,1.1076,103.2346,1.6467,249.6714,,-5.9347
118465,C002579,惠州中京电子科技股份有限公司,2,2579,,,A,31/12/18,Q4,0.22,0.22,0.2188,0.2188,2.7107,4.725,4.725,4.725,0.2942,0.3832,1.0466,0.0711,1.1177,0.6903,0.7614,0.3581,0.3581,-0.2726,-0.2726,-0.5695,-0.3171,8.1884,8.07,8.0713,6.9527,6.95,8.1884,6.4189,6.4189,4.2043,3.3537,9.7273,5.3122,5.3122,20.4794,20.4794,79.5206,10.6197,10.6197,5.3122,5.3122,6.2267,6.2267,8.1104,8.1104,95.1232,95.1232,2.1306,2.1306,6.5461,6.5461,1.943,1.943,0.5892,0.5892,81557970.86,70255351.56,142850818.9,233054450,6.2267,6.7727,0.9968,0.733,0.7129,157.6508,63.4313,82.3378,230.5461,56.3038,68.3519,0.1413,0.0838,0.1088,0.1068,0.132,4.0442,,0.1068,266.6667,266.6667,63.6089,44.93,209.5079,233.1058,294.0608,243.4885,270.8622,40.76,68.1713,235.4086,240.076,233.6627,2.9443,67.9692,4.32,2.9443,67.9692,5.1754,157,5.2109,69.0873,4.0715,88.4195,,,1.7449,2.1048,1.7684,0.7914,85.4726,85.4726,7.5787,7.5787,155.4026,155.4026,2.1542,-101619990.1,133486947.8,1505461307,-276081197.7,142.6663,85.4726,5.9981,0.3174,0.1,2.1879,3.5809,45.7065,54.2935,57.0981,44.6609,55.3391,36.5137,5.6842,,,45.1567,54.8433,78.471,21.529,42.9019,2.3309,-4034262.13,0.2865,1.3155,79.8836,79.8836,4.4023,4.4023,0.1269,0.1269,-1.9949,-1.9949,12.9849,75.0865,2.2344,87.1664,5.3122,87.0151,75.2732,8.1104
77025,C002583,海能达通信股份有限公司,2,2583,,,A,31/12/18,Q4,0.26,0.26,0.2595,0.2595,3.3281,3.7745,3.7745,3.7745,0.2783,0.3993,1.5016,0.0899,1.5915,0.8068,0.8966,0.0527,0.0527,-0.3459,-0.3459,0.0743,0.4484,8.1057,8.1,7.7979,5.1319,5.33,8.1057,5.0765,5.0765,3.2997,3.1851,6.2125,6.8758,6.8758,47.3042,47.3042,52.6958,29.2458,29.2458,6.8758,6.8758,7.3722,7.3722,10.5782,10.5782,96.3483,96.3483,14.9645,14.9645,10.8544,10.8544,3.4269,3.4269,2.478,2.478,476805597.4,313790080.2,733550142.8,1181446307,7.3722,9.1045,1.1713,0.8732,0.7941,144.8228,69.0499,80.0499,695.4106,16.6708,19.4851,0.1291,0.0109,0.0127,0.0151,0.0148,3.3928,2.1992,0.0151,85.7143,85.7143,29.5803,40.93,109.5165,109.7747,94.7238,94.7235,94.9659,23.49,148.4294,139.8058,139.3284,79.9363,8.2185,7.4675,6.9,8.2185,7.4675,7.3007,362,2.0204,178.1825,1.9529,184.3507,,,0.9506,4.809,1.1789,0.4799,89.0372,89.0372,1.3964,1.3964,38.2394,38.2394,4.0012,-635543108.5,96832040.93,6174312488,-943920764.6,20.3085,89.0372,0.6701,0.4556,0.035,7.415,1.5059,13.4862,86.5139,59.1531,50.3255,49.6745,9.6235,23.4571,0.0626,0.0666,44.4598,55.5402,72.6317,27.3683,40.8469,2.4482,1102026861,0.3963,5.844,48.9478,48.9478,,,0.2041,0.2041,1.1808,1.1808,7.8352,65.811,2.4565,100.0002,6.8758,92.1648,70.5254,10.5782
151325,C002587,深圳市奥拓电子股份有限公司,2,2587,,,A,31/12/18,Q4,0.29,0.29,0.2901,0.2901,2.0506,2.5409,2.5409,2.5409,0.3319,0.3389,0.3373,0.0763,0.4135,0.6939,0.7702,0.3115,0.3115,0.2233,0.2233,0.3347,0.3296,14.8974,14.86,14.1495,13.2997,13.96,14.8974,10.3296,10.3296,9.0727,8.1218,14.3552,11.7132,11.7132,33.5187,33.5187,66.4813,13.5706,13.5706,11.7132,11.7132,13.0638,13.0638,13.336,13.336,88.0776,88.0776,9.2838,9.2838,4.5293,4.5293,-0.2424,-0.2424,1.7534,1.7534,179662312.2,168871748.2,209824629.9,229836015.9,13.0638,16.3779,1.8989,1.6539,1.4012,76.816,130.1813,161.0944,96.0868,128.7858,312.6266,0.2347,0.1978,0.2448,0.2027,0.5941,59.2259,0.0278,0.2027,31.8182,31.8182,51.1225,75.08,46.7157,46.1467,40.2755,36.0933,44.5167,103.19,64.0749,1961.7287,1935.9477,22.4291,11.161,26.5207,9.75,11.161,26.5207,10.6118,237,4.5023,79.9609,2.2867,157.4321,,,1.0024,9.6591,1.3046,0.7746,81.1744,81.1744,12.2613,12.2613,102.8423,102.8423,1.1327,138260989,192916089.6,1277176110,-556713328.5,104.6791,81.1744,9.4972,0.7408,0.1003,2.9216,3.1372,34.2276,65.7724,42.9843,79.6312,20.3688,7.1295,1.4928,,,61.6997,38.3003,97.5612,2.4388,57.0157,1.7539,855347141.9,0.0184,7.3881,90.936,90.936,,,1.3056,1.3056,0.3587,0.3587,10.6597,91.6323,1.6843,97.4875,11.7132,89.3403,98.3116,13.336
153310,C002600,广东领益智造股份有限公司,2,2600,,,A,31/12/18,Q4,-0.1,-0.1,-0.0996,-0.0996,1.443,3.2965,3.2965,3.2965,-0.0885,-0.0554,1.0059,0.0035,1.0094,0.204,0.2074,0.2245,0.2245,0.1341,0.1341,-0.1319,0.1634,-9.7444,-6.9,-6.9032,-0.0391,-0.04,-9.7444,-2.3779,-2.3779,-4.0327,-3.3706,-4.6767,-3.3141,-3.3141,20.1793,20.1793,79.8207,6.2156,6.2156,-3.3141,-3.3141,-2.6837,-2.6837,-1.6794,-1.6794,99.813,99.813,1.3953,1.3953,3.7267,3.7267,1.0936,1.0936,8.0274,8.0274,-679896383.5,-3850682.35,-377854796.6,491939532.9,-2.6837,-3.2671,1.084,0.8632,0.8005,123.8789,80.724,92.3547,179.2017,63.8431,78.7104,0.0334,0.1256,0.1437,0.134,0.1771,-1.4842,0.8014,0.134,-126.3158,-126.3158,133.4805,66.56,-130.5569,-131.5906,-144.2312,-140.4099,-100.2394,-345.33,391.8536,73.8598,-40.0214,-116.845,139.891,129.0506,-17.24,139.891,129.0506,,127,8.2569,43.6004,4.293,83.8574,,,2.3699,5.5411,3.2247,1.4159,106.8607,106.8607,6.8103,6.8103,3641.9221,3641.9221,1.6791,915471775.5,1532292457,24043302038,-1242416775,,106.8607,9.643,0.2254,,,,,,55.152,56.0142,43.9858,26.4295,3.2757,0.002,,48.0127,51.9873,93.6917,6.3083,44.848,2.2298,960399395.1,0.0776,1.7808,,,,,,,,,,,2.2774,91.1807,-3.3141,,,-1.6794
